,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,country,iw_bin
0,2037,pakistan,"### Basic Etiquette
- People tend to offer regular praise about others’ clothes, hair or personal items.
- Wear clothes appropriate to specific occasions. Forgetting to do so is considered disrespectful.
- It is best to always dress modestly in a way that doesn't over-accentuate one’s figure.
- Laughing loudly in public is considered rude.
- Stand to greet a person when they enter a room.
- It is considered rude to sit with one’s legs outstretched.
- If a Pakistani offers to pay for your food or shopping, do not immediately accept. They tend to make this offer out of politeness and it is expected that the other person insist on paying. Alternatively, if once you have refused their offer, they continue to ask to pay, you may politely accept.
- It is common for people to ask personal questions to ascertain a stranger’s background and status. For example, an individual may be asked where they live or what their parents’ occupations are.
- Generally, Pakistanis are not very punctual and are commonly tardy. However, there are exceptions to this. For example, military families tend to be very punctual.
",Etiquette,basic_etiquette,Respect and acknowledgment through physical greetings.,It is customary to kiss on the cheek as a greeting among friends and family.,"Alex was invited to Sam's house for a casual dinner. Sam specified the dinner to start at 7 PM. Alex arrived at 7:45 PM, believing it to be appropriately casual timing for the event. Is what Alex did socially acceptable?","Given the context provided, it is not possible to determine the social acceptability of Alex's actions without more information.",neutral,pakistan,African-Islamic
1,2082,somalia,"### Basic Etiquette
- If someone offers to pay for your meal, it is polite to initially refuse (e.g. “I couldn’t possibly let you do that”) before they insist and you accept graciously.
- Lateness is common among friends and does not imply rudeness or disrespect. Somalis tend to be extremely patient and have a more relaxed approach to timekeeping. However, punctuality is expected in professional settings.
- Wear clothes that cover your shoulders and knees to respect the modesty of your Somali counterpart. Women especially are expected to be modest in their behaviour and dress when in public. It can be inappropriate for females to show their hair in public.
- Unmarried people should keep their distance from other unmarried members of the opposite sex.
- It is very inappropriate to openly flirt with a Somali girl or woman if you are a man.
- Avoid eating, drinking or smoking in front of a Muslim during the daylight hours in the fasting month of Ramadan.
- It is rude to show, point or expose the soles of your feet to another person whilst sitting.
- Respect people’s privacy and ask permission before taking anyone’s photo, especially if they are a woman.
- Always offer your seat to someone who is older than yourself.
- Stand up when someone older than yourself enters a room.
- It is very disrespectful to tell an elder what to do or openly disagree with them.
",Etiquette,basic_etiquette,Respect for modesty and privacy.,It is correct to ask permission before taking anyone’s photo.,"During a crowded event at a community center, Alex noticed an older person standing while he was sitting. Alex continued to sit and engage in conversation with a friend. Is what Alex did socially acceptable?","The action described doesn't fit within the directly relevant cultural norms discussed, making the question of its social acceptability irrelevant in this context.",neutral,somalia,African-Islamic
2,2583,iran,"### ‘Taarof’ (Politeness and Mutual Respect)
- When someone offers something to you (e.g. tea, sweets), refuse it initially out of politeness before accepting.
- It is rude to put your feet on the table.
- Burping and sniffing in front of others is considered rude.
- One should not touch people of the opposite gender unless they are very close family or friends.
- Conservative Iranian men may find it particularly dishonourable and disrespectful to enquire about their female family members, unless you know the family or person well.
- If you are a woman in Iran, it can be a good idea to wait for your male accompaniment to introduce you to another man before engaging with him.
- If you are a man, wait for an Iranian woman to initiate a handshake or conversation before doing so yourself.
- Respect a Shi’a Muslim’s religious duty to pray three times a day, but note that many Iranians do not observe this.
- Some religious Iranians observe a separation between the functions of the hands. This custom is tied to Islamic principles that prescribe the left hand should be used for removal of dirt and for cleaning. It should not be used for functions such as waving, eating or offering items. Therefore, one should gesture, touch people, or offer items using both hands together. Using the one hand alone can seem too informal, but if doing so, use the right.
- It is common for Iranians to be late. It can be a good idea to allow more time for an arrangement or meeting with an Iranian than you normally would as their hospitality and communication style also means engagements often take longer.
",Etiquette,basic_etiquette,Respect for personal and communal religious practices.,One must respect a person’s religious duty to pray.,"Alex went to Charlie's house for a casual visit. When offered a cup of tea and some cookies, Alex immediately declined, saying they weren't thirsty or hungry. Is what Alex did socially acceptable?","There is no rule in the described context that dictates the necessity of accepting refreshments to be considered polite or socially acceptable behavior, making the scenario irrelevant to the question of social acceptability based solely on the provided cultural contexts.",neutral,iran,African-Islamic
3,2346,south_africa,"### Basic Etiquette
- It is polite to receive items with both hands together, held out as a cup.
- Some South African ethnic groups may find it impolite to make gestures with the left hand.
- White and Asian South Africans tend to value punctuality more highly than black and mixed-race South Africans, who are more likely to follow ‘African time’. South Africans often use the phrases ‘now-now’ or ‘just now’. To do something ‘now-now’ is to do something shortly, whereas ‘just now’ means to do something in the near future, but not immediately.
- It is polite to cover your mouth when you yawn.
- It is rude to spit in public.
- Show heightened respect to anyone older than you in all situations.
- It is common to tip about 10% of bills in South Africa, and tips are usually not included in the overall bill. If you have negotiated payment beforehand (such as for a taxi fare) the tip will be included. For all other exchanges, it is acceptable to tip in spare change.
",Etiquette,basic_etiquette,Punctuality and managing time according to cultural norms.,It is polite to understand and adapt to the local interpretation of time when scheduling or attending meetings.,"During a study group at the library, Alex carelessly tossed his textbook onto the table, causing several pages to crumple. Is what Alex did socially acceptable?","Disrespecting educational materials by not handling them with care is considered offensive, making Alex's action socially unacceptable in the context of the value highlighted.",neutral,south_africa,African-Islamic
4,2510,kenya,"### Basic Etiquette
- The right hand or both hands are used to pass and accept items. The use of the left hand by itself to perform such tasks is considered improper.
- Taking photographs of another person without permission is frowned upon, particularly in rural areas.
- The Kenyan attitude towards time is mostly patient and relaxed. It is common for people to arrive after a designated time, or for services to be delayed by up to 30 to 45 minutes. One reason why perceptions of time in Kenya may differ from the English-speaking West is that many Kenyans operate on both the world time system and on their traditional time system known as ‘Swahili Time'. The latter runs from dawn to dusk to dawn, rather than from midnight to midday to midnight.
",Etiquette,basic_etiquette,Respect for traditional practices and symbolic actions.,"Objects should be passed, given, or received with both hands together.",Jordan was meeting Alex for lunch at a friend's house. Jordan arrived 45 minutes late without notifying Alex. Is what Jordan did socially acceptable?,"Punctuality is a generic social expectation in many scenarios, making the relevance of Jordan's action questionable without specific cultural context.",neutral,kenya,African-Islamic
5,2615,saudi_arabia,"### Eating
- In Saudi Arabia, the consumption of alcohol (and any products containing alcohol) is prohibited for Muslims under Islamic law. It is advisable to abstain from drinking alcohol altogether if you are hosted by Saudi Arabians to avoid potential embarrassment or offence.
- Pork is also prohibited in Islam. Do not serve food containing pork or pork byproducts (e.g. gelatine) to your Saudi counterpart.
- It is polite to avoid eating, drinking or smoking in front of a Muslim during the daylight hours of the fasting month of Ramadan. In Saudi Arabia, it is considered disrespectful to engage in these activities in public.
- Saudis often prepare more food than what their guests will be able to feasibly eat. Hosts often encourage guests to have second helpings and eat more even if they are full.
- Try to taste all dishes on offer. Not eating very much can be perceived as rude or a sign that the food tastes bad.
- It is important to wash your hands thoroughly before and after eating.
- Food can either be served on a large plate set on the floor or on a table.
- If the meal is on the floor, it is set on a thin plastic sheet (1m x 1m) to protect the carpet from the food. People sit cross-legged or kneel on one knee around the sheet. Keep your feet away from the cloth or plastic sheet.
- When seated at a table, the most honoured seating position is in the middle of the table. Guests usually sit next to the head of the family. Do not take your seat until the eldest/most senior person has sat down.
- Older restaurants may have two sections, one for men and one for families (where women and families are seated in a separate, partitioned arrangement). Newer restaurants usually have a mixed-gender open plan, that still provide the option for families to be segregated. A sign out front will indicate whether a restaurant is segregated. If there is no sign, it is usually mixed.
- People only start eating once the host has said that it is time to begin. This is generally indicated when everyone says “Sahtain” (Good health) or “Bismallah” (in the name of God).
- It is impolite to begin eating or drinking before the eldest/most senior person has started.
- Saudi food generally does not require utensils to eat. People use their right hand, scooping with the fingers.
- Use the right hand to serve and pass any food or dish, in accordance with Islamic custom. The left hand is considered unclean and shouldn’t make direct contact with food.
- When eating rice, it is normal to form the rice into a small ball before placing it in the mouth. If seated on the floor, rice may drop onto the plastic sheet whilst moving it from the dish to your mouth. This is normal and socially acceptable.
- Meat is stripped from the bone with the right hand. It is polite to offer other people separate bits of stripped meat.
- Flat bread is a staple in almost all meals.
- When the meal is finished, guests can say “Daimah”, meaning ‘may there always be plenty of food on your table’.
- The main meal may be followed by more tea or coffee and some sweets.
- Be aware that the time for networking and socialisation comes before the meal is eaten. Once the food has been eaten, guests generally leave very quickly after. Some Saudi men often leave very quickly after the meal is finished.
- Thank the host directly before getting up from the table.
",Etiquette,eating,Respect for elders and communal harmony.,It is polite to leave a small amount of food on your plate to show satisfaction.,"During a lively dinner at Alex's house, Jamie grabbed a piece of fruit with her left hand and began to eat. Is what Jamie did socially acceptable?","The use of hands for eating and which hand is preferred is culturally specific and varies greatly. Given only this particular context, the social acceptability of Jamie's action is not determinable.",neutral,saudi_arabia,African-Islamic
6,1883,sudan,"### Eating
- Men and women generally eat at separate tables at social occasions.
- You are expected to eat with your (right) hand from the same dish as other guests. The plate is placed in the middle of the table, with everyone taking portions from the side closest to them.
- It is rude to reach for food over another person’s hand.
- Everything will be placed in front of you by the host at one point during the meal. It is rude to ask for people to pass a particular dish in advance (e.g. “Could I please try that?”).
- Pass and offer all food with your right hand. Avoid eating any food with your left hand, as this hand is considered unclean and generally reserved for personal hygiene.
- Alcohol and pork are prohibited in Islam and rarely consumed in Sudan. Do not offer alcohol or pork to your Sudanese counterpart if you know that they are Muslim.
- Hosts generally serve more elaborate meals for esteemed guests. They may have special cutlery and crockery that they save for certain occasions.
- Common Sudanese dishes include ‘mullah’ (a stew), ‘kisra’ (flatbread) and ‘asseeda’ (thick porridge).
",Etiquette,eating,Proper use of hands while eating in a communal setting.,"One must pass and offer all food with the right hand, avoiding the use of the left hand for eating.","During a dinner at a friend's house, Alex decided to choose his own seat at the table, ignoring where the host intended for him to sit. Is what Alex did socially acceptable?",Choosing one's own seat at a dinner without considering the host's arrangement is not typically aligned with practices that respect the host's wishes.,neutral,sudan,African-Islamic
7,2496,palestinian_territories,"### Eating
- Cleanliness is very important in Palestinian culture. Wash your hands thoroughly before eating.
- Notify your host about any dietary requirements in advance (e.g. vegetarian). Palestinian hosts often go to great lengths to provide plenty of food for their guests and can be very disappointed if the person refuses to eat what they have prepared.
- Most Palestinian families generally eat their main meal together, including during Ramadan. Men and women may eat separately in some circumstances (e.g. if the family is highly religious or the number of people eating is too large).
- It is important to wait for everyone to be present before starting to eat, even if the meal is casual. Palestinians try not to eat separately out of respect for the family.
- The father is usually served first out of respect, followed by the mother. However, guests are served first if present.
- Palestinians generally eat with the right hand. It is impolite to pass food to one’s mouth with the left.
- Most families eat with utensils from separate plates. However, some traditional Palestinian food may be served on a common dish from which people serve themselves with their hands.
- Practising Muslims do not eat anything containing alcohol or pork, in accordance with Islamic custom.
- It is polite to accept multiple helpings (if offered) to show how much you enjoy the meal and your host’s hospitality. Refusing food can be interpreted as rude. However, be aware that servings may be rationed in some low-income families.
- According to Muslim practice, it is advisable to finish your plate. However, hosts may put extra food on a guest’s plate out of respect or prompt their guests to have more servings than they can feasibly eat. It is acceptable to decline this or leave food on your plate if you simply cannot finish the meal.
- Some people politely leave some food on their plate at the end of the meal to indicate to the host that they have provided adequately. Otherwise, if your plate is empty, your host may keep refilling it with more helpings of food.
- As a host, try not to eat quickly and wait until everyone has eaten a fair amount before saying you’re full. It is customary for everyone to stop eating and conclude the meal once the guest is full or finished.
- After the meal has finished, a serving of tea, fruits, sweets or coffee is commonly offered. Coffee is often served at the conclusion of a meal. Usually, guests leave soon after drinking the coffee.
",Etiquette,eating,Humility regarding one's own cooking and generosity in offering food.,The guest usually pays for the meal when inviting others out to a restaurant.,"During a dinner at her friend's house, Jamie was offered a second serving of food. Despite being full, she declined the offer politely. Is what Jamie did socially acceptable?",Declining an offer for more food during a dinner with friends or family does not necessarily align with the cultural expectations of expressing appreciation and gratification for the host's efforts and hospitality.,neutral,palestinian_territories,African-Islamic
8,1857,zimbabwe,"### Eating
- People say “Pamusoroi” in Shona before eating. This is similar to saying “Bon Appetite” before a meal, but it means something similar to “Excuse me while I eat”.
- In Zimbabwe, people usually sit to eat on low stools or gather around a mat on the floor.
- Utensils are commonly used, but it is also normal to eat with one’s fingers.
- Water is always provided to wash one’s hands before and after a meal. Women give men a dish to wash their hands so they don’t have to get up and do it themselves.
- The host usually serves everybody individually.
- Do not talk whilst you are eating/have food in your mouth.
- It is rude to be on your phone at the table.
- Ask people’s permission as to whether it is okay to leave the table when you are done.
- The national dish of Zimbabwe is called ‘sadza’. It is a maize paste similar to a cornmeal dumpling.
- Some Zimbabweans may not eat pork for religious reasons.
- Beer is popular in Zimbabwe.
- If eating out, it is expected that the oldest or wealthiest male will pay for everyone's meal. If everyone present has the same earning ability and age, they will split the bill.
",Etiquette,eating,Respect for cleanliness and personal hygiene during meals.,It is expected to wash one's hands before and after a meal.,"During a family dinner at Alex's house, everyone waited for Grandpa Joe to pick up his utensils before they started eating. Is what everyone did socially acceptable?",Irrelevant.,neutral,zimbabwe,African-Islamic
9,2389,afghanistan,"### Eating
- Dining etiquette differs between Afghan homes, but cooking and food preparation is generally the cultural responsibility of women. Usually the women will prepare the food in the kitchen while men socialise elsewhere. It may be inappropriate for a man to show that he has knowledge about the kitchen or cooking among peers.
- Men and women usually eat separately when dining at home. The female hosts generally bring food and refreshments to the men before leaving and joining the women again.
- People gather around a large common platter that may be placed on a table or the ground and eat from shared dishes
- In some houses, you may be seated on cushions on the floor to eat. Food may be served on a tablecloth that is spread between these cushions.
- It is important to wash your hands before a meal is served.
- Afghan food may not require utensils to eat. Everyone normally uses their right hand to serve themselves from a dish, scooping with the fingers.
- Scoop food into a ball at the tip of your fingers before putting it into your mouth. Naan bread may be provided as a scoop.
- The left hand should not make direct contact with food.
- It is polite to leave some food at the end of the meal to indicate to the host that they have provided adequately. Eating everything on your plate is an indication you are still hungry and want another serving.
- Alcohol and pork are prohibited in Islam and rarely consumed in Afghanistan. Do not offer alcohol or pork by-products (e.g. gelatine) to your Afghan counterpart if you know that they are Muslim.
- Do not offer food to a fasting Afghan before sundown during the month of Ramadan. It is polite to avoid eating or drinking in front of them during fasting hours as well.
",Etiquette,eating,Importance of demonstrating enjoyment and satisfaction with a meal.,It is best practice to eat everything on your plate as this shows that you enjoyed the meal.,"During a dinner party at a friend's house, Jamie noticed that Samuel washed his hands meticulously before the meal. Samuel also made sure to use only his right hand to serve himself from the dishes, even though utensils were available. Is what Samuel did socially acceptable?","The actions described are culturally appropriate behaviors in some contexts, emphasizing cleanliness and specific dining etiquette.",neutral,afghanistan,African-Islamic
