sample_id,phase,digest,kind,selected_or_not,pre_verifier_tuple,post_verifier_tuple,patch_locus,origin_node_id,origin_turn_index,origin_role,repair_agent_id,repair_round,candidate_bank_source,recovery_reinserted,promotion_inspector_decision,repair_self_check_repaired,repair_self_check_drift,repair_self_check_risk,code_text_preview
mbpp:466,phase2,e30fc2188193,anchor,False,0/3|visible_test_failure,0/0|,,,-1,,,-1,,False,,,,,"def find_peak_util(arr, n):
    for i in range(n):
        left = arr[i-1] if i > 0 else -1
        right = arr[i+1] if i < n-1 else -1
        if arr[i] > left and arr[i] > right:
            return i
    return -1"
mbpp:293,phase2,f0136206028b,anchor,True,0/3|visible_test_failure,0/3|visible_test_failure,,critic@coder,0,critic,,-1,stage1_anchor,False,,,,,"def otherside_rightangle(a, b):
    if a > b:
        return (a**2 - b**2)**0.5
    else:
        return (b**2 - a**2)**0.5"
mbpp:956,phase2,ee533411f500,anchor,True,3/3|,3/3|,,,-1,,,-1,,False,,,,,"import re

def split_list(s):
    return re.findall('[A-Z][^A-Z]*', s)"
mbpp:454,phase2,696e5b1a03de,anchor,False,2/3|visible_test_failure,0/0|,,,-1,,,-1,,False,,,,,"def text_match_wordz(s):
    return 'Found a match!' if 'z' in s else 'Not found'"
mbpp:466,phase3a,f5500620b63f,anchor,True,0/3|visible_test_failure,0/3|visible_test_failure,,critic@verifier,0,critic,,-1,stage1_anchor,False,,,,,"def find_peak_util(arr, n):
    for i in range(n):
        if (i == 0 or arr[i] > arr[i-1]) and (i == n-1 or arr[i] > arr[i+1]):
            return i
    return -1"
mbpp:293,phase3a,a19c7b4b9f73,anchor,False,0/3|visible_test_failure,0/0|,,,-1,,,-1,,False,,,,,"def otherside_rightangle(a, b):
    if a > b:
        hypotenuse = a
        other = b
    else:
        hypotenuse = b
        other = a
    return (hypotenuse**2 - other**2)**0.5 if hypotenuse**2 > other**2 else (a**2 + b**2)**0.5"
mbpp:293,phase3a,a5fbe63982d3,selected,True,0/3|visible_test_failure,3/3|,,reviser@summarizer,0,reviser,,-1,sink_output,False,,,,,"import math

def otherside_rightangle(a, b):
    return math.sqrt(a**2 + b**2)"
mbpp:956,phase3a,77e9b09a080b,anchor,False,2/3|visible_test_failure,0/0|,,,-1,,,-1,,False,,,,,"import re

def split_list(s):
    return re.split(r'(?<=[a-z])(?=[A-Z])', s)"
mbpp:956,phase3a,ee533411f500,selected,True,2/3|visible_test_failure,3/3|,,aggregator@verifier,4,aggregator,,-1,sink_output,False,,,,,"import re

def split_list(s):
    return re.findall('[A-Z][^A-Z]*', s)"
mbpp:454,phase3a,8671adfff02f,anchor,False,2/3|visible_test_failure,0/0|,,reviser@planner,0,reviser,,-1,sink_output,False,,,,,"def text_match_wordz(s):
    return 'Found a match!' if 'z' in s else ''"
